larval_ID,pop_origin,photoperiod,full_treatment,5th_day,blocking_day,development_time,larval_mass,pupal_mass,sex,Experiment_Notes,percent_R,percent_G,percent_B,gray_R,gray_G,gray_B,darkness_G,initials
AZ131,AZ,10,AZ10,10/28,11/4,7,5.4474,2.9818,M,,59.349,59.426,63.79,7.369,7.388,6.446,21.612,AC
AZ132,AZ,10,AZ10,10/28,11/4,7,4.5788,,,did not pupate,55.026,54.406,57.574,6.756,6.521,5.968,22.479,AC
AZ133,AZ,10,AZ10,10/28,11/5,8,3.483,2.2242,M,photo one day late,60.054,56.998,64.155,8.603,7.898,8.06,21.102,AC
AZ134,AZ,10,AZ10,10/28,11/5,8,4.6612,3.4636,F,,69.929,67.57,72.979,7.593,6.976,6.676,22.024,AC
AZ135,AZ,10,AZ10,10/28,11/4,7,5.2392,3.0148,M,,57.833,56.3876,60.231,7.844,7.408,6.894,21.592,AC
AZ136,AZ,10,AZ10,10/28,11/4,7,5.5693,3.4226,F,,42.863,40.597,44.434,8.965,8.315,7.87,20.685,AC
AZ137,AZ,10,AZ10,10/29,11/5,7,6.0503,3.8822,F,,71.3,71.121,76.413,8.931,8.994,8.343,20.006,AC
AZ138,AZ,10,AZ10,10/29,11/5,7,5.3284,2.9251,M,,56.251,55.753,59.037,8.378,8.568,7.8,20.432,AC
AZ139,AZ,10,AZ10,10/29,11/6,8,6.8291,4.2768,F,,54.03,53.235,55.92,8.115,7.982,7.014,21.018,AC
AZ140,AZ,10,AZ10,10/29,11/5,7,5.1698,2.9365,M,,35.431,34.178,36.556,9.54,9.06,8.253,19.94,AC
AZ141,AZ,10,AZ10,10/29,11/5,7,5.6477,3.3525,M,,71.195,70.469,73.521,7.12,7.199,6.536,21.801,AC
AZ142,AZ,10,AZ10,10/29,11/5,7,6.0365,3.4428,F,,55.725,55.937,59.995,8.446,8.445,7.795,20.555,AC
AZ143,AZ,10,AZ10,10/29,11/6,8,6.6661,3.9494,F,,64.042,63.298,66.375,8.994,8.685,7.956,20.315,AC
AZ144,AZ,10,AZ10,10/29,11/5,7,4.5569,2.8477,M,,39.437,38.516,41.553,8.951,8.664,7.979,20.336,AC
AZ145,AZ,10,AZ10,10/29,11/6,8,5.6477,4.2173,F,,61.58,61.542,64.754,8.502,8.357,7.801,20.643,AC
AZ146,AZ,10,AZ10,10/29,11/6,8,4.5959,3.7426,F,,59.522,59.551,63.448,7.903,7.776,7.172,21.224,AC
AZ147,AZ,10,AZ10,10/29,11/6,8,4.8476,3.1814,M,,78.148,77.965,80.808,7.555,7.603,6.89,21.397,AC
AZ148,AZ,10,AZ10,10/29,11/5,7,4.2548,2.8883,M,,75.321,75.117,78.16,9.265,9.188,8.33,19.812,AC
AZ149,AZ,10,AZ10,10/29,11/5,7,4.07,2.3695,M,,56.349,53.942,56.857,8.341,7.767,7.197,21.233,AC
AZ150,AZ,10,AZ10,10/30,11/6,7,6.7324,4.1089,F,,62.927,61.808,65.04,9.396,9.065,8.241,19.935,AC
AZ151,AZ,10,AZ10,10/30,11/5,6,5.0319,2.9534,M,,77.023,76.922,79.571,7.432,7.462,6.849,21.538,AC
AZ152,AZ,10,AZ10,10/30,11/6,7,7.1608,4.2322,F,,63.592,61.214,64.137,8.502,7.778,7.204,21.222,AC
AZ153,AZ,10,AZ10,10/30,11/6,7,4.6171,2.7169,M,,38.618,35.663,39.612,10.59,9.266,8.926,19.734,AC
AZ154,AZ,10,AZ10,10/30,11/8,9,3.3421,2.2729,M,,76.078,76.986,81.62,6.249,6.548,6.191,22.452,AC
AZ201,AZ,12,AZ12,10/15,10/23,8,4.7956,2.9654,,,79.893,79.919,81.73,8.542,8.801,7.99,20.199,EB
AZ202,AZ,12,AZ12,10/15,10/21,6,4.3994,2.2625,M,,59.804,57.802,61.699,12.665,12.476,11.734,16.524,EB
AZ203,AZ,12,AZ12,10/15,10/22,7,3.5242,3.3638,F,,67.216,67.402,70.932,10.4,10.518,9.937,18.482,EB
AZ204,AZ,12,AZ12,10/16,10/23,7,5.4498,3.2116,F,,62.225,61.915,65.438,11.262,11.373,10.667,17.627,EB
AZ205,AZ,12,AZ12,10/16,10/23,7,4.2069,2.4121,M,,62.609,62.718,66.128,12.231,12.236,11.426,16.764,EB
AZ206,AZ,12,AZ12,10/17,10/25,8,5.1198,3.6551,F,,68.868,65.807,69.361,8.115,7.62,7.087,21.38,EB
AZ207,AZ,12,AZ12,10/17,10/24,7,5.2869,3.0945,M,,41.497,39.545,44.238,10.633,10.171,9.875,18.829,EB
AZ208,AZ,12,AZ12,10/17,10/25,8,5.3067,3.7891,F,,66.638,66.353,72.811,9.63,9.534,9.076,19.466,EB
AZ209,AZ,12,AZ12,10/19,10/26,7,4.8604,2.8152,F,,65.973,66.412,70.024,9.964,9.796,8.785,19.204,EB
AZ210,AZ,12,AZ12,10/19,10/27,8,4.6095,3.4173,F,,31.965,32.228,36.064,11.745,11.301,10.14,17.699,EB
AZ211,AZ,12,AZ12,10/20,10/27,7,5.0921,3.4645,F,,72.126,72.03,75.34,8.791,8.516,7.692,20.484,EB
AZ212,AZ,12,AZ12,10/20,10/27,7,4.5223,3.0478,M,,67.11,66.793,70.585,8.659,8.316,7.546,20.684,EB
AZ213,AZ,12,AZ12,10/20,10/27,7,4.0792,2.7189,M,,33.599,33.056,38.747,11.465,10.853,10.588,18.147,EB
AZ214,AZ,12,AZ12,10/20,10/28,8,3.5138,2.3391,F,,70.343,70.165,72.389,10.41,10.205,8.963,18.795,EB
AZ215,AZ,12,AZ12,10/22,10/29,7,3.3822,2.3639,M,,40.763,40.749,45.308,10.139,9.842,8.83,19.158,EB
AZ216,AZ,12,AZ12,10/23,10/30,7,4.6549,3.2822,F,,63.428,64.031,69.282,9.235,8.963,8.311,20.037,EB
AZ217,AZ,12,AZ12,10/23,10/31,8,3.8271,2.6302,M,,64.756,65.631,70.23,9.943,9.719,9.002,19.281,EB
AZ218,AZ,12,AZ12,10/25,11/1,7,5.1382,3.675,F,,61.163,61.783,65.276,7.028,7.072,6.437,21.928,EB
AZ219,AZ,12,AZ12,10/25,11/1,7,6.9649,3.9609,F,,67.577,64.001,68.847,8.199,7.514,7.353,21.486,EB
AZ220,AZ,12,AZ12,10/26,11/2,7,4.9967,2.9426,M,,61.932,58.598,61.45,7.804,6.948,6.331,22.052,EB
AZ221,AZ,12,AZ12,10/26,11/2,7,5.9429,3.1392,F,,71.869,69.173,72.6,7.716,7.429,6.955,21.571,EB
AZ222,AZ,12,AZ12,10/26,11/1,6,4.7027,2.8861,M,,65.697,66.081,70.901,8.206,8.247,7.578,20.753,EB
AZ223,AZ,12,AZ12,10/26,11/5,10,5.8932,4.2121,F,,74.656,73.034,76.81,6.861,6.622,6.276,22.378,EB
AZ224,AZ,12,AZ12,10/27,11/2,6,4.8569,,,did not pupate/ severe deformity,60.01,59.411,63.555,10.49,10.15,9.56,18.85,EB
AZ225,AZ,12,AZ12,10/27,11/4,8,4.6045,3.002,M,,61.587,61.451,65.547,8.573,8.489,7.787,20.511,EB
AZ226,AZ,12,AZ12,10/27,11/3,7,4.799,2.7346,M,,61.816,61.231,63.391,8.566,8.21,7.12,20.79,EB
AZ227,AZ,12,AZ12,10/27,11/3,7,5.5084,3.4081,F,blocked late,65.431,64.96,68.527,9.273,9.233,8.297,19.767,EB
AZ228,AZ,12,AZ12,10/27,11/4,8,5.6498,3.7605,F,,36.423,35.75,40.596,10.156,9.61,9.168,19.39,AC
AZ229,AZ,12,AZ12,10/27,11/3,7,4.9441,3.1715,M,,62.309,61.748,64.263,7.31,7.145,6.479,21.855,AC
AZ230,AZ,12,AZ12,10/28,11/5,8,7.1104,4.1606,F,,37.425,32.678,36.961,9.703,7.185,7.567,21.815,AC
AZ231,AZ,12,AZ12,10/28,11/5,8,5.2916,3.5702,F,,73.716,73.655,76.941,7.567,7.639,6.78,21.361,AC
AZ232,AZ,12,AZ12,10/28,11/5,8,5.1268,3.7885,F,,71.787,71.036,73.613,7.742,7.783,6.857,21.217,AC
AZ233,AZ,12,AZ12,10/28,11/5,8,6.3651,3.9877,F,,68.429,68.126,70.848,7.462,7.422,6.559,21.578,AC
AZ234,AZ,12,AZ12,10/28,11/5,8,4.8565,3.1571,M,,51.746,50.182,54.462,7.915,7.381,7.225,21.619,AC
AZ235,AZ,12,AZ12,10/28,11/5,8,3.7342,2.6323,M,,56.764,56.054,60.335,9.376,9.379,8.638,19.621,AC
AZ236,AZ,12,AZ12,10/28,11/5,8,5.0845,3.7663,F,,44.121,40.294,44.86,9.09,7.835,7.899,21.165,AC
AZ237,AZ,12,AZ12,10/29,11/6,8,6.6473,3.2873,M,,40.633,39.572,43.234,10.077,9.447,8.926,19.553,AC
AZ238,AZ,12,AZ12,10/29,11/5,7,5.6932,3.1992,M,,64.293,62.177,66.012,9.534,9.222,8.995,19.778,AC
AZ239,AZ,12,AZ12,10/29,11/5,7,6.5968,3.7255,F,,77.443,77.607,80.272,6.868,7.048,6.409,21.952,AC
AZ240,AZ,12,AZ12,10/29,11/6,8,6.6473,4.0024,F,,65.688,64.003,67.741,8.245,8.065,7.582,20.935,AC
AZ241,AZ,12,AZ12,10/29,11/5,7,7.4916,4.3988,F,,78.922,79.486,82.735,7.81,8.108,7.189,20.892,AC
AZ242,AZ,12,AZ12,10/29,11/5,7,5.4149,3.1684,F,,60.682,59.818,63.391,8.718,8.756,8.047,20.244,AC
AZ243,AZ,12,AZ12,10/29,11/4,6,4.3213,2.682,M,,74.583,74.833,77.463,6.389,6.698,5.842,22.302,AC
AZ244,AZ,12,AZ12,10/29,11/5,7,7.3477,3.7705,F,,47.063,44.219,47.018,10.456,9.536,8.542,19.464,AC
AZ245,AZ,12,AZ12,10/29,11/7,9,4.5762,2.6588,M,,58.572,58.554,61.703,8.921,8.813,7.936,20.187,AC
AZ246,AZ,12,AZ12,10/29,11/5,7,6.112,3.1589,M,,66.394,65.348,68.291,8.884,8.831,8.089,20.169,AC
AZ247,AZ,12,AZ12,10/29,11/6,8,5.7478,2.957,M,,60.915,60.432,63.586,8.69,8.533,7.568,20.467,AC
AZ248,AZ,12,AZ12,10/29,11/5,7,5.2231,3.8122,F,,57.591,57.278,61.146,8.954,8.795,8.034,20.205,AC
AZ249,AZ,12,AZ12,10/29,11/5,7,6.0394,3.7857,M,,71.623,71.542,75.595,8.403,8.501,7.698,20.499,AC
AZ250,AZ,12,AZ12,10/29,11/5,7,5.561,3.2453,M,,59.872,58.769,61.678,8.993,8.965,7.982,20.035,AC
AZ251,AZ,12,AZ12,10/29,11/5,7,6.2603,2.9292,M,,61.269,60.367,63.716,7.971,7.762,7.056,21.238,AC
AZ252,AZ,12,AZ12,10/30,11/6,7,5.202,,,severe deformity,73.386,73.518,76.461,7.672,7.73,7.001,21.27,AC
AZ253,AZ,12,AZ12,10/30,11/6,7,5.6417,3.0737,F,,42.467,41.114,46.134,12.863,12.23,11.846,16.77,AC
AZ254,AZ,12,AZ12,10/30,11/7,8,4.6349,2.5188,M,,34.248,27.119,32.949,14.115,11.39,11.531,17.61,AC
AZ301,AZ,14,AZ14,10/14,10/21,7,3.6349,2.2474,M,,39.548,39.545,44.236,13.608,13.236,12.672,15.764,AC
AZ302,AZ,14,AZ14,10/15,10/23,8,4.3456,2.4216,M,,31.419,30.205,33.438,14.253,13.969,13.197,15.031,AC
AZ303,AZ,14,AZ14,10/17,10/23,6,,3.1207,F,,25.85,18.942,22.149,16.147,12.858,12.214,16.142,AC
AZ304,AZ,14,AZ14,10/18,10/24,6,4.7282,2.7983,M,,14.517,7.564,9.275,18.462,11.967,12.013,17.033,AC
AZ305,AZ,14,AZ14,10/18,10/24,6,4.2299,,,did not pupate,26.741,25.467,29.645,9.474,8.719,8.786,20.281,AC
AZ306,AZ,14,AZ14,10/18,10/25,7,4.8261,3.2621,F,,27.129,26.908,29.868,10.831,10.688,9.779,18.312,AC
AZ307,AZ,14,AZ14,10/18,10/24,6,3.9483,2.5713,M,,15.221,14.031,16.699,13.028,12.407,11.87,16.593,AC
AZ308,AZ,14,AZ14,10/18,10/24,6,5.6583,3.9533,F,,25.154,21.821,25.32,12.059,10.511,10.427,18.489,AC
AZ309,AZ,14,AZ14,10/19,10/26,7,4.2309,2.6263,M,,21.512,15.621,18.155,14.147,9.791,9.632,19.209,AC
AZ310,AZ,14,AZ14,10/19,10/26,7,4.7979,3.5831,F,,67.492,67.008,70.116,8.847,8.486,7.474,20.514,AC
AZ311,AZ,14,AZ14,10/19,10/26,7,4.1295,2.5289,M,,23.25,20.032,24.489,12.688,10.452,10.765,18.548,AC
AZ312,AZ,14,AZ14,10/19,10/26,7,4.4416,3.5591,F,,19.035,18.665,21.066,13.65,13.285,12.284,15.715,AC
AZ313,AZ,14,AZ14,10/19,10/26,7,3.973,3.915,F,,30.405,29.792,35.163,9.947,9.366,9.568,19.634,AC
AZ314,AZ,14,AZ14,10/20,10/27,7,4.046,3.1841,M,,11.004,8.26,10.205,15.655,12.145,12.309,16.855,AC
AZ315,AZ,14,AZ14,10/20,10/27,7,4.618,4.4488,F,,33.469,30.106,36.92,12.488,11.021,11.478,17.979,AC
AZ316,AZ,14,AZ14,10/21,10/27,6,4.4457,2.4672,M,,57.448,57.364,61.856,9.831,9.713,9.18,19.287,AC
AZ317,AZ,14,AZ14,10/21,10/27,6,4.5935,2.8265,M,,32.046,22.804,30.414,14.893,10.836,12.345,18.164,AC
AZ318,AZ,14,AZ14,10/21,10/28,7,4.0516,3.6506,F,,30.256,28.728,34.053,11.823,10.66,10.657,18.34,AC
AZ319,AZ,14,AZ14,10/22,10/28,6,4.6349,2.8382,M,,21.037,19.426,23.912,14.237,13.609,13.219,15.391,AC
AZ320,AZ,14,AZ14,10/22,10/29,7,4.5009,3.1572,M,,61.123,57.44,64.666,10.011,9.148,9.001,19.852,AC
AZ321,AZ,14,AZ14,10/22,10/29,7,4.1801,2.8805,M,,7.966,7.644,9.505,12.684,12.514,12.086,16.486,AC
AZ322,AZ,14,AZ14,10/23,10/29,6,5.1469,,,severe deformity,26.961,23.566,27.848,10.802,8.397,9.042,20.603,AC
AZ323,AZ,14,AZ14,10/23,10/30,7,7.124,3.9369,F,,18.164,6.772,10.957,22.691,19.061,20.099,9.939,AC
AZ324,AZ,14,AZ14,10/26,11/1,6,4.899,2.6795,M,,22.151,21.077,24.125,13.17,12.635,11.719,16.365,AC
AZ325,AZ,14,AZ14,10/26,11/2,7,5.8226,3.4934,M,,8.564,8.152,9.415,11.451,10.623,10.181,18.377,AC
AZ326,AZ,14,AZ14,10/26,11/2,7,4.7946,2.7092,M,,22.047,18.978,21.994,11.598,9.455,9.545,19.545,AC
AZ327,AZ,14,AZ14,10/27,11/2,6,5.908,3.2731,M,,16.528,14.939,18.525,12.568,10.881,11.333,18.119,AC
AZ328,AZ,14,AZ14,10/27,11/2,6,5.608,2.9842,M,,14.091,10.289,10.88,11.93,9.409,12.118,19.591,AC
AZ329,AZ,14,AZ14,10/27,,,5.5781,,,died as larva,42.493,38.531,47.955,10.936,8.976,10.096,20.024,AC
AZ330,AZ,14,AZ14,10/27,11/3,7,5.4346,3.2011,M,,13.532,11.037,12.939,12.894,9.914,9.806,19.086,AC
AZ331,AZ,14,AZ14,10/27,11/4,8,6.2804,4.3538,F,,18.763,16.464,19.831,10.864,8.703,9.167,20.297,AC
AZ332,AZ,14,AZ14,10/27,11/2,6,4.8341,2.3021,M,,53.927,53.537,60.403,11.455,11.195,10.197,17.805,AC
AZ333,AZ,14,AZ14,10/27,11/6,10,6.652,4.0518,F,,19.685,9.879,11.847,17.736,9.314,9.76,19.686,AC
AZ334,AZ,14,AZ14,10/28,11/5,8,6.8281,3.6984,F,,17.799,16.351,19.919,11.081,10.144,10.218,18.856,AC
AZ335,AZ,14,AZ14,10/28,11/5,8,6.3527,4.1261,F,,25.95,15.299,20.963,16.985,10.478,12.084,18.522,AC
AZ336,AZ,14,AZ14,10/28,11/4,7,5.3103,3.3401,F,,40.371,39.346,42.087,8.782,8.491,7.818,20.509,AC
AZ337,AZ,14,AZ14,10/28,11/5,8,5.9193,3.4284,M,,15.665,10.97,13.002,14.614,10.097,10.346,18.903,AC
AZ338,AZ,14,AZ14,10/28,11/5,8,5.2674,3.3741,F,,37.544,36.303,42.966,9.204,8.361,8.723,20.639,AC
AZ339,AZ,14,AZ14,10/28,11/5,8,6.4023,,,did not pupate,37.093,29.66,37.831,12.116,9.062,10.587,19.938,AC
AZ340,AZ,14,AZ14,10/28,11/5,8,6.7289,4.2263,F,,26.509,20.487,25.44,12.852,9.18,10.075,19.82,AC
AZ341,AZ,14,AZ14,10/28,11/4,7,5.6914,3.1635,M,,50.914,49.066,54.469,7.784,6.91,7.19,22.09,AC
AZ342,AZ,14,AZ14,10/29,11/5,7,5.7283,3.2737,M,,44.298,39.355,44.102,11.561,10.349,10.026,18.651,AC
AZ343,AZ,14,AZ14,10/29,11/5,7,4.9839,2.9584,M,,27.911,23.217,27.782,13.59,11.398,11.417,17.602,AC
AZ344,AZ,14,AZ14,10/29,11/6,8,3.8285,,,severe deformity,20.417,18.165,21.601,13.677,11.891,11.64,17.109,AC
AZ345,AZ,14,AZ14,10/29,11/5,7,5.2642,3.1351,M,,66.206,55.345,61.623,9.545,7.143,7.727,21.857,AC
AZ346,AZ,14,AZ14,10/29,11/5,7,5.6482,3.1642,M,,53.064,50.92,55.751,8.548,8.091,7.977,20.909,AC
AZ347,AZ,14,AZ14,10/29,11/5,7,5.5355,2.9456,M,,22.557,18.733,18.605,10.797,4.569,6.69,24.431,AC
AZ348,AZ,14,AZ14,10/29,11/5,7,5.2234,2.9905,M,,13.687,12.906,15.842,15.393,14.864,14.516,14.136,AC
AZ349,AZ,14,AZ14,10/29,11/5,7,5.9051,3.434,M,,23.513,23.058,26.39,10.587,10.21,9.857,18.79,AC
AZ350,AZ,14,AZ14,10/29,11/5,7,4.4342,2.9751,F,,13.69,12.874,17.158,12.721,11.923,13.155,17.077,AC
AZ351,AZ,14,AZ14,10/29,11/5,7,5.4987,4.0062,F,,31.38,26.387,31.382,9.58,7.179,8.498,21.821,AC
AZ352,AZ,14,AZ14,10/30,11/5,6,5.715,3.2674,M,,51.975,50.209,54.193,8.784,8.276,7.854,20.724,AC
AZ353,AZ,14,AZ14,10/30,11/6,7,7.0423,3.8507,F,,36.115,32.771,38.047,9.952,8.208,8.644,20.792,AC
AZ354,AZ,14,AZ14,10/30,11/6,7,6.3661,3.9161,F,,13.581,10.909,13.559,14.315,11.861,11.968,17.139,AC
AZ401,AZ,16,AZ16,10/15,10/23,8,5.1042,3.6332,F,,9.225,8.755,10.273,14.738,14.369,13.749,14.631,AC
AZ402,AZ,16,AZ16,10/15,10/23,8,4.491,2.0707,M,,54.477,54.319,59.876,12.95,12.761,11.888,16.239,AC
AZ403,AZ,16,AZ16,10/15,10/23,8,6.2662,,,did not pupae,25.362,23.66,26.392,14.61,14.102,13.18,14.898,AC
AZ404,AZ,16,AZ16,10/16,10/23,7,5.6004,4.0083,F,,14.742,14.012,17.337,14.79,14.54,14.373,14.46,AC
AZ405,AZ,16,AZ16,10/18,10/25,7,5.4079,3.5613,F,,15.725,14.848,17.268,10.948,10.412,10.022,18.588,AC
AZ406,AZ,16,AZ16,10/18,10/24,6,4.4068,2.929,M,,6.517,5.63,7.274,14.956,13.278,13.118,15.722,AC
AZ407,AZ,16,AZ16,10/20,10/26,6,3.5562,3.0556,F,,4.383,4.545,6.126,18.857,18.063,17.218,10.937,AC
AZ408,AZ,16,AZ16,10/20,10/26,6,4.205,3.5587,F,,18.786,18.524,22.238,13.502,12.911,12.759,16.089,AC
AZ409,AZ,16,AZ16,10/20,10/27,7,6.0625,3.9506,F,,23.322,23.215,26.47,11.351,10.756,10.368,18.244,AC
AZ410,AZ,16,AZ16,10/20,10/28,8,3.6107,2.787,F,,40.341,34.373,39.418,12.297,10.154,10.064,18.846,AC
AZ411,AZ,16,AZ16,10/21,10/28,7,4.0645,2.2937,M,,25.64,25.452,29.301,11.639,11.338,10.246,17.662,AC
AZ412,AZ,16,AZ16,10/22,10/28,6,3.8247,2.3656,M,,10.976,10.836,14.334,12.972,12.484,12.391,16.516,AC
AZ413,AZ,16,AZ16,10/22,10/29,7,4.1582,2.6944,M,,22.647,18.328,24.516,14.15,11.482,12.958,17.518,AC
AZ414,AZ,16,AZ16,10/22,10/29,7,4.6529,3.7192,M,,6.166,6.126,7.096,12.578,12.052,11.09,16.948,AC
AZ415,AZ,16,AZ16,10/22,10/29,7,4.349,,,severed deformity,28.694,29.123,34.606,10.18,10.082,9.959,18.918,AC
AZ416,AZ,16,AZ16,10/25,11/1,7,7.4269,3.7387,F,,12.528,6.524,7.353,18.173,11.437,10.9,17.563,AC
AZ417,AZ,16,AZ16,10/26,10/31,5,5.7487,3.202,M,,14.502,10.802,12.686,13.639,9.945,9.982,19.055,AC
AZ418,AZ,16,AZ16,10/26,10/30,4,5.7389,3.8484,F,,55.184,53.437,59.33,10.702,10.345,9.635,18.655,AC
AZ419,AZ,16,AZ16,10/26,11/2,7,4.8661,3.062,M,,13.616,10.599,13.047,13.314,9.95,10.418,19.05,AC
AZ420,AZ,16,AZ16,10/26,11/2,7,6.0904,3.9058,F,,32.974,22.313,27.387,14.767,9.458,10.327,19.542,AC
AZ421,AZ,16,AZ16,10/27,11/2,6,7.4698,4.5884,F,,13.129,3.391,7.248,23.241,14.674,18.389,14.326,AC
AZ422,AZ,16,AZ16,10/27,,,5.7707,,,larva escaped!,28.364,22.166,28.488,12.777,9.393,10.364,19.607,AC
AZ423,AZ,16,AZ16,10/27,11/3,7,7.074,4.4562,F,,6.896,4.524,5.767,17.604,13.253,13.073,15.747,AC
AZ424A,AZ,16,AZ16,10/27,11/2,6,5.4066,3.4314,M,,10.41,7.602,9.904,15.958,11.992,11.951,17.008,AC
AZ424B,AZ,16,AZ16,10/27,11/2,6,4.7181,3.1551,M,,9.459,9.012,10.744,13.951,13.604,11.994,15.396,AC
AZ425,AZ,16,AZ16,10/27,11/3,,4.872,3.2132,M,,13.106,12.565,14.802,11.375,10.827,10.151,18.173,AC
AZ426,AZ,16,AZ16,10/27,11/2,6,5.8532,3.2657,M,,23.729,20.994,24.167,11.334,9.196,8.951,19.804,AC
AZ427,AZ,16,AZ16,10/28,11/3,6,4.6724,2.7294,M,,16.466,15.154,18.79,12.101,11.12,11.38,17.88,AC
AZ428,AZ,16,AZ16,10/28,11/4,7,5.1517,2.8444,M,,24.54,22.181,28.877,12.565,11.129,11.534,17.871,AC
AZ429,AZ,16,AZ16,10/28,11/5,8,4.5818,,,did not pupate,5.714,4.194,6.03,17.357,13.18,13.884,15.82,AC
AZ430,AZ,16,AZ16,10/28,11/5,8,4.1798,2.4284,M,,6.079,4.474,6.73,18.275,15.44,15.922,13.56,AC
AZ431,AZ,16,AZ16,10/28,11/5,8,5.6866,3.2172,F,,15.274,10.1,11.927,15.164,9.838,9.887,19.162,AC
AZ432,AZ,16,AZ16,10/28,11/6,9,7.395,4.267,F,,10.609,6.299,7.558,17.315,11.849,12.027,17.151,AC
AZ433,AZ,16,AZ16,10/28,11/5,8,6.0392,3.8476,F,,17.016,7.302,8.656,19.152,9.729,10.183,19.271,AC
AZ434,AZ,16,AZ16,10/28,11/5,8,6.532,3.8186,F,,22.487,7.761,9.862,20.363,10.236,11.442,18.764,AC
AZ435,AZ,16,AZ16,10/28,11/5,8,5.2717,3.316,F,,33.547,12.391,29.519,22.235,15.823,20.46,13.177,AC
AZ436,AZ,16,AZ16,10/28,11/6,9,7.8295,5.4472,F,,15.623,8.118,10.858,18.622,11.045,12.408,17.955,AC
AZ437,AZ,16,AZ16,10/28,11/5,8,4.4958,2.6399,M,,9.598,7.532,9.548,13.569,10.28,10.78,18.72,AC
AZ438,AZ,16,AZ16,10/29,11/5,7,7.0173,3.9562,F,,8.328,6.861,9.144,14.584,11.488,12.534,17.512,AC
AZ439,AZ,16,AZ16,10/29,11/5,7,5.9605,2.8387,M,,16.263,6.329,7.776,19.716,9.635,10.872,19.365,AC
AZ440,AZ,16,AZ16,10/29,11/6,8,5.5627,2.9915,M,,13.769,6.705,8.28,19.465,13.776,14.176,15.224,AC
AZ441,AZ,16,AZ16,10/29,11/5,7,6.8475,3.7026,F,,8.503,6.748,9.746,15.747,13.206,14.76,15.794,AC
AZ442,AZ,16,AZ16,10/29,11/5,7,5.6879,3.8117,F,,28.083,23.382,28.435,11.763,9.408,10.15,19.592,AC
AZ443,AZ,16,AZ16,10/29,11/5,7,6.8536,3.062,M,,14.493,5.97,7.735,20.646,12.72,13.247,16.28,AC
AZ444,AZ,16,AZ16,10/29,11/5,7,6.1509,3.5665,M,,9.122,6.316,7.571,15.249,11.128,11.434,17.872,AC
AZ445,AZ,16,AZ16,10/29,11/6,8,5.4101,2.9779,M,,11.604,9.406,11.008,13.376,11.194,10.976,17.806,AC
AZ446,AZ,16,AZ16,10/29,11/5,7,5.0314,3.0089,M,,5.123,5.107,6.197,11.688,11.354,11.052,17.646,AC
AZ447,AZ,16,AZ16,10/29,11/6,8,5.496,3.8169,F,,7.855,6.344,8.74,14.31,11.737,13.041,17.263,AC
AZ448,AZ,16,AZ16,10/29,11/6,8,4.9673,3.4369,F,,15.883,4.808,6.262,22.285,13.646,13.853,15.354,AC
AZ449,AZ,16,AZ16,10/29,11/6,8,6.9796,4.4549,F,,12.497,8.14,9.515,15.319,9.972,10.294,19.028,AC
AZ450,AZ,16,AZ16,10/30,11/7,8,8.6028,5.4052,F,,17.343,8.286,11.983,19.414,11.504,13.708,17.496,AC
AZ451,AZ,16,AZ16,10/30,11/6,7,6.2692,4.1239,F,,25.061,9.689,17.108,20.394,11.688,15.968,17.312,AC
AZ452,AZ,16,AZ16,10/30,11/6,7,7.4639,4.3652,F,,7.287,4.189,5.463,17.884,11.232,11.54,17.768,AC
AZ453,AZ,16,AZ16,10/30,11/7,8,7.5974,4.2403,F,,33.541,9.33,14.904,21.089,8.515,13.358,20.485,AC
AZ454,AZ,16,AZ16,10/30,11/6,7,7.4156,4.0454,F,,17.247,9.124,13.823,18.016,10.446,13.38,18.554,AC
CO101,CO,10,CO10,10/14,10/21,7,3.8133,2.3713,M,,59.096,60.026,63.19,11.878,11.457,10.181,17.543,AC
CO102,CO,10,CO10,10/14,10/21,7,4.0088,2.6587,M,,63.058,63.388,65.936,11.716,11.421,10.276,17.579,AC
CO103,CO,10,CO10,10/15,10/22,7,4.7396,3.6815,M,,62.983,62.68,65.721,11.612,11.405,9.85,17.595,AC
CO104,CO,10,CO10,10/15,10/21,6,3.9838,2.6038,M,,38.022,38.558,42.258,14.374,13.783,12.531,15.217,AC
CO105,CO,10,CO10,10/15,10/22,7,3.3677,2.3954,M,,49.949,50.387,54.11,10.516,10.086,8.7,18.914,AC
CO106,CO,10,CO10,10/15,10/22,7,5.9871,3.2207,F,,53.626,53.938,57.742,11.81,11.575,10.33,17.425,AC
CO107,CO,10,CO10,10/15,10/22,7,3.1865,,,did not pupate,53.642,53.23,58.752,13.403,12.97,12.015,16.03,AC
CO108,CO,10,CO10,10/15,10/22,7,3.4786,2.6653,M,,60.983,62.053,65.383,11.992,11.748,10.388,17.252,AC
CO109,CO,10,CO10,10/15,10/23,8,3.2325,2.8254,M,,49.501,51.293,56.86,12.383,11.986,10.829,17.014,AC
CO110,CO,10,CO10,10/15,10/22,7,3.9415,2.4201,F,,56.637,57.547,60.86,12.218,11.681,10.341,17.319,AC
CO111,CO,10,CO10,10/15,10/22,7,4.6026,3.5961,F,,55.592,55.552,59.247,10.846,10.596,9.498,18.404,AC
CO112,CO,10,CO10,10/16,10/23,7,4.9088,3.5107,F,,33.899,33.753,36.817,12.453,11.972,10.764,17.028,AC
