larval_ID,pop_origin,photoperiod,full_treatment,5th_day,blocking_day,development_time,larval_mass,pupal_mass,sex,Experiment_Notes,percent_R,percent_G,percent_B,gray_R,gray_G,gray_B,darkness_G,initials
CO237,CO,12,CO12,10/24,10/31,7,4.0675,2.6799,M,,48.643,47.534,52.386,7.458,6.956,9.169,22.044,EB
CO238,CO,12,CO12,10/25,10/31,6,5.9451,,,severe deformity,56.608,55.25,60.432,9.326,8.7889,8.217,20.2111,EB
CO239,CO,12,CO12,10/25,10/31,6,6.5997,4.0631,F,,7.991,7.252,9.899,13.644,12.149,12.711,16.851,EB
CO240,CO,12,CO12,10/25,10/31,6,3.9503,2.57567,M,,31.636,23.927,31.447,15.23,12.073,12.728,16.927,EB
CO241,CO,12,CO12,10/25,10/31,6,3.2908,1.9345,M,,41.967,37.981,43.35,11.0445,9.484,9.237,19.516,EB
CO242,CO,12,CO12,10/25,10/31,6,5.4698,2.8294,M,,57.541,50.681,57.816,7.709,5.236,6.28,23.764,EB
CO243,CO,12,CO12,10/25,10/31,6,4.9845,2.976,M,,15.755,10.889,13.35,15.037,10.147,10.423,18.853,EB
CO244,CO,12,CO12,10/25,11/1,7,2.8832,1.9722,M,,61.873,60.344,64.483,7.171,6.631,5.866,22.369,EB
CO245,CO,12,CO12,10/25,11/1,7,3.0038,,,severe deformity,45.818,45.322,50.344,6.857,6.529,6.186,22.471,EB
CO246,CO,12,CO12,10/26,11/2,7,6.1808,3.9199,F,,19.194,16.091,21.485,13.002,10.335,11.188,18.665,EB
CO247,CO,12,CO12,10/27,,,5.5169,,,larva escaped,6.493,5.436,7.555,16.845,14.611,14.215,14.389,EB
CO249,CO,12,CO12,10/27,11/3,7,6.402,4.119,F,blocked late,22.679,21.58,23.882,9.861,8.701,7.655,20.299,EB
CO250,CO,12,CO12,10/27,11/3,7,3.7761,3.1932,F,blocked late,15.562,15.697,18.828,10.672,9.99,9.597,19.01,EB
CO251,CO,12,CO12,10/28,11/5,8,3.5997,2.8853,M,,25.573,23.801,27.966,9.8556,8.613,8.316,20.387,EB
CO252,CO,12,CO12,10/28,11/4,7,4.783,3.0298,F,,35.519,32.0778,39.909,9.294,7.146,8.904,21.854,EB
CO253,CO,12,CO12,10/29,11/6,8,4.9097,3.7423,F,,51.481,49.404,53.54,9.14,8.325,7.955,20.675,EB
CO254,CO,12,CO12,10/29,11/6,8,3.1352,2.4792,M,,49.635,47.809,52.865,9.508,8.817,8.115,20.183,EB
CO301,CO,14,CO14,10/15,10/22,7,4.5393,2.9411,M,,23.857,23.335,26.673,14.966,14.441,13.079,14.559,AC
CO302,CO,14,CO14,10/15,10/21,6,4.759,2.5269,M,,9.46,7.691,9.663,16.5,14.335,13.975,14.665,AC
CO303,CO,14,CO14,10/15,10/22,7,5.2637,3.8368,M,,34.289,32.915,37.017,11.771,11.143,10.514,17.857,AC
CO304,CO,14,CO14,10/15,10/22,7,4.0004,2.7543,M,,25.956,25.871,29.49,13.086,12.544,11.34,16.456,AC
CO305,CO,14,CO14,10/15,10/23,8,2.7701,2.2584,M,,51.015,52.825,59.823,14.244,14.14,13.239,14.86,AC
CO306,CO,14,CO14,10/16,10/24,8,4.9176,3.6338,F,,50.103,49.951,55.401,11.948,11.854,11.071,17.146,AC
CO307,CO,14,CO14,10/16,10/23,7,4.6031,3.8128,F,,16.206,15.275,19.845,17.382,16.902,16.225,12.098,AC
CO308,CO,14,CO14,10/16,10/24,8,4.6192,3.7109,F,,31.678,31.777,37.117,12.39,12.24,10.925,16.76,AC
CO309,CO,14,CO14,10/17,10/23,6,6.5022,3.5861,F,,14.943,13.705,17.019,12.869,11.664,11.482,17.336,AC
CO310,CO,14,CO14,10/17,10/24,7,5.1318,3.9718,F,,5.753,5.464,6.619,15.467,14.963,13.242,14.037,AC
CO311,CO,14,CO14,10/17,10/24,7,4.706,3.0074,M,,24.751,24.288,28.707,14.51,13.808,13.14,15.192,AC
CO312,CO,14,CO14,10/17,10/26,9,2.7135,2.9509,M,photo one day late,77.973,78.422,81.868,8.445,8.229,6.992,20.771,AC
CO313,CO,14,CO14,10/17,10/25,8,4.0294,3.2264,M,,37.153,37.757,41.727,11.136,10.492,9.519,18.508,AC
CO314,CO,14,CO14,10/19,10/27,8,3.5505,2.6763,F,,26.764,27.726,33.934,12.044,11.064,10.81,17.936,AC
CO315,CO,14,CO14,10/22,10/28,6,3.4018,2.1838,M,,5.015,4.73,6.554,14.714,13.918,13.15,15.082,AC
CO316,CO,14,CO14,10/22,10/29,7,4.4327,3.0252,M,,15.103,14.056,16.26,9.461,8.459,7.893,20.541,AC
CO317,CO,14,CO14,10/22,11/1,10,3.7001,3.9612,F,photo one day late,56.067,53.446,73.772,10.698,9.494,11.469,19.506,AC
CO318,CO,14,CO14,10/23,10/28,5,5.8861,3.6942,F,,14.078,8.73,11.465,16.328,10.3,11.195,18.7,AC
CO319,CO,14,CO14,10/23,11/1,9,2.1608,1.0638,M,photo one day late,64.119,64.405,69.105,11.865,11.264,9.566,17.736,AC
CO320,CO,14,CO14,10/23,10/30,7,5.417,3.3403,F,,11.864,8.481,10.272,14.36,9.846,9.494,19.154,AC
CO321,CO,14,CO14,10/23,10/30,7,4.7759,3.4624,F,,11.328,11.115,13.597,12.594,12.071,11.54,16.929,AC
CO322,CO,14,CO14,10/23,10/30,7,3.3738,2.3234,M,,6.125,5.528,8.12,16.946,15.766,15.324,13.234,AC
CO323,CO,14,CO14,10/24,10/30,6,4.1949,2.6727,M,,36.901,36.638,41.075,10.317,10.009,8.902,18.991,AC
CO324,CO,14,CO14,10/24,10/30,6,6.2036,3.6601,F,,13.254,7.692,10.654,19.06,14.081,14.209,14.919,AC
CO325,CO,14,CO14,10/24,10/30,6,5.6242,3.4501,F,,21.074,18.111,17.776,9.338,5.225,7.621,23.775,AC
CO326,CO,14,CO14,10/24,10/31,7,4.463,3.2459,F,,16.365,9.491,12.59,16.365,12.556,13.02,16.444,AC
CO327,CO,14,CO14,10/25,10/31,6,5.1533,2.5911,M,,8.444,7.9,10.638,12.014,11.175,12.049,17.825,EB
CO328,CO,14,CO14,10/25,11/1,7,5.8463,3.8347,F,,15.393,10.726,16.721,16.002,11.371,14.196,17.629,EB
CO329,CO,14,CO14,10/25,11/1,7,6.5795,3.9068,F,,37.236,30.292,41.122,11.621,8.151,10.454,20.849,EB
CO330,CO,14,CO14,10/25,10/31,6,4.6525,2.7821,M,,7.747,5.988,8.935,16.102,12.981,14.19,16.019,EB
CO331,CO,14,CO14,10/25,10/31,6,7.0801,4.0049,F,,12.189,10.208,13.162,13.121,10.707,11.883,18.293,EB
CO332,CO,14,CO14,10/25,10/31,6,5.3109,3.0916,M,,21.331,9.34,13.176,18.702,10.753,13.049,18.247,EB
CO333,CO,14,CO14,10/25,11/1,7,4.1291,2.9947,M,,9.964,7.665,10.133,14.307,11.113,11.968,17.887,EB
CO334,CO,14,CO14,10/26,11/2,7,5.5087,4.0162,F,,8.602,7.784,10.84,13.124,11.358,11.806,17.642,EB
CO335,CO,14,CO14,10/26,11/2,7,5.1279,2.0682,F,severe deformity- exclude pupal mass?,14.439,11.603,15.068,12.916,9.57,10.238,19.43,EB
CO336,CO,14,CO14,10/26,11/2,7,5.0687,3.5001,F,,12.342,9.072,11.046,15.74,12.288,11.948,16.712,EB
CO337,CO,14,CO14,10/26,11/2,7,6.0653,4.2027,F,,47.413,31.215,48.135,18.391,16.125,17.294,12.875,EB
CO338,CO,14,CO14,10/26,11/2,7,4.5984,2.8373,M,,9.141,5.263,8.395,18.886,13.876,15.511,15.124,EB
CO339,CO,14,CO14,10/26,11/6,11,3.0801,,,"photo one day late, severe deformity",34.899,34.973,38.572,9.5,8.682,7.737,20.318,EB
CO340,CO,14,CO14,10/26,11/3,8,4.9439,2.9007,F,blocked late,23.226,10.007,14.651,18.972,9.845,12.087,19.155,EB
CO341,CO,14,CO14,10/26,11/2,7,3.2745,2.5183,M,small deformity,6.302,6.301,7.947,10.077,9.405,9.124,19.595,EB
CO342,CO,14,CO14,10/27,11/3,7,4.1347,,,already pupating- severe deformity,34.383,18.895,23.832,16.709,9.524,10.48,19.476,EB
CO343,CO,14,CO14,10/27,11/3,7,4.05,,,already pupating- severe deformity,23.445,17.669,22.824,13.078,9.013,9.738,19.987,EB
CO344,CO,14,CO14,10/27,11/4,8,6.0765,4.0245,F,,12.566,12.412,18.342,12.827,11.766,12.868,17.234,EB
CO345,CO,14,CO14,10/28,11/5,8,6.233,,,not sure what happened to this guy,16.684,8.847,14.669,19.365,12.806,15.39,16.194,EB
CO346,CO,14,CO14,10/28,11/4,7,5.0355,3.198,M,,15.549,7.331,10.415,19.073,10.794,12.825,18.206,EB
CO347,CO,14,CO14,10/28,11/3,6,4.739,1.8802,M,blocked late,12.232,9.771,12.867,13.138,9.913,11.05,19.087,EB
CO348,CO,14,CO14,10/29,11/4,6,4.2893,2.2803,M,,40.727,40.665,45.427,8.665,8.174,7.599,20.826,EB
CO349,CO,14,CO14,10/30,11/6,7,4.6795,3.0033,F,,17.173,4.668,7.756,23.077,17.113,17.37,11.887,EB
CO350,CO,14,CO14,10/31,11/11,11,2.6257,2.0898,M,"photo one day late, slight deformity",55.278,16.576,24.481,19.97,12.687,15.126,16.313,EB
CO351,CO,14,CO14,10/31,11/7,7,5.6481,3.6715,F,,29.572,30.379,36.606,10.899,10.463,10.923,18.537,EB
CO401,CO,16,CO16,10/15,10/22,7,4.2353,3.2001,,,38.465,36.989,43.265,14.705,14.289,13.403,14.711,AC
CO402,CO,16,CO16,10/15,10/23,8,2.3601,,,photo one day late,28.259,28.735,35.841,14.218,13.858,13.27,15.142,AC
CO403,CO,16,CO16,10/15,10/22,7,4.2408,2.8084,M,,19.226,18.615,17.604,5.322,4.956,7.074,24.044,AC
CO404,CO,16,CO16,10/15,10/22,7,4.1383,2.8991,M,,61.266,61.949,68.102,13.141,12.925,11.79,16.075,AC
CO405,CO,16,CO16,10/16,10/23,7,8.4545,5.1579,F,,10.939,9.853,12.393,13.684,12.474,12.199,16.526,AC
CO406,CO,16,CO16,10/16,10/23,7,6.4754,4.9034,F,,23.165,22.738,26.619,12.926,12.736,11.726,16.264,AC
CO407,CO,16,CO16,10/17,10/23,6,4.4241,3.0698,M,,22.06,20.912,24.317,13.438,12.598,11.369,16.402,AC
CO408,CO,16,CO16,10/17,10/23,6,5.213,3.3123,M,,31.616,31.379,39.647,15.043,14.358,14.08,14.642,AC
CO409,CO,16,CO16,10/17,10/24,7,5.2644,3.6434,F,,15.862,15.64,19.458,16.299,15.551,14.67,13.449,AC
